"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Population 25 Years and over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree","Median Household Income in 2018 Dollars [Dollars adjusted for inflation to match value in 2018]","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2018]"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,SE_T038_001,SE_T038_002,SE_T038_003,SE_T038_004,SE_T038_005,SE_T038_006,SE_T038_007,SE_T038_008,SE_T091_001,RC2000SF3_RC2000SF3_025_H085001
"11001000100","Census Tract 1","Census Tract 1, District of Columbia, District of Columbia","00","11","001","000100",4674,4482,4016,219,23,181,11,11,21,192,176,0,0,8,0,0,8,3968,77,232,348,1146,1028,722,415,139907.162714636,700412.020561487
"11001000201","Census Tract 2.01","Census Tract 2.01, District of Columbia, District of Columbia","00","11","001","000201",4460,4359,3740,258,0,286,50,0,25,101,101,0,0,0,0,0,0,176,25,22,22,21,49,15,22,132898.19787408,179416.607354686
"11001000202","Census Tract 2.02","Census Tract 2.02, District of Columbia, District of Columbia","00","11","001","000202",3857,3695,3447,47,0,155,0,0,46,162,157,0,0,0,0,5,0,2435,35,68,254,860,671,333,214,137054.290269828,768113.641755635
"11001000300","Census Tract 3","Census Tract 3, District of Columbia, District of Columbia","00","11","001","000300",5750,5422,4672,129,15,414,15,32,145,328,253,0,12,0,0,63,0,4106,79,218,380,1653,1101,424,251,111209.110384301,429897.983392645
"11001000400","Census Tract 4","Census Tract 4, District of Columbia, District of Columbia","00","11","001","000400",1501,1475,1291,68,15,31,0,0,70,26,12,0,0,0,0,8,6,1198,11,81,130,386,289,201,100,195230.512673753,1022250.61289047
"11001000501","Census Tract 5.01","Census Tract 5.01, District of Columbia, District of Columbia","00","11","001","000501",2774,2528,2120,135,7,237,0,11,18,246,168,0,0,0,0,69,9,2245,124,105,146,687,577,458,148,99058.3229762878,375210.280743377
"11001000502","Census Tract 5.02","Census Tract 5.02, District of Columbia, District of Columbia","00","11","001","000502",3062,2868,2578,95,0,79,13,17,86,194,73,22,8,0,0,73,18,2597,123,99,240,762,701,495,177,101014.66475879,659469.355476473
"11001000600","Census Tract 6","Census Tract 6, District of Columbia, District of Columbia","00","11","001","000600",4969,4606,3712,602,15,187,0,26,64,363,244,32,0,0,0,59,28,3990,505,245,348,894,932,779,287,135321.70318888,603758.086200079
"11001000701","Census Tract 7.01","Census Tract 7.01, District of Columbia, District of Columbia","00","11","001","000701",4395,4014,3476,154,0,284,0,26,74,381,180,0,9,0,0,29,163,3711,148,282,594,1065,923,324,375,80838.9452166803,261448.161328588
